mode,n,m,instance,seed,algorithm,makespan,optimal_makespan,ratio,runtime_seconds
unidirectional,5,20,1,54027,REC,20,20,1.0,0.00012744099876726978
unidirectional,5,20,1,54027,Heap-Based,20,20,1.0,9.78520001808647e-05
unidirectional,5,20,2,54028,ILP,21,21,1.0,0.0062252899988379795
unidirectional,5,20,2,54028,REC,21,21,1.0,0.00013235600090411026
unidirectional,5,20,2,54028,Heap-Based,21,21,1.0,0.00010288500016031321
unidirectional,5,20,3,54029,ILP,22,22,1.0,0.019052349000048707
unidirectional,5,20,3,54029,REC,22,22,1.0,0.00014514900067297276
unidirectional,5,20,3,54029,Heap-Based,22,22,1.0,0.00010422100058349315
unidirectional,5,20,4,54030,ILP,17,17,1.0,0.01233954799863568
unidirectional,5,20,4,54030,REC,17,17,1.0,0.00012069200056430418
unidirectional,5,20,4,54030,Heap-Based,17,17,1.0,6.816000131948385e-05
unidirectional,5,20,5,54031,ILP,21,21,1.0,0.005027881001296919
unidirectional,5,20,5,54031,REC,21,21,1.0,0.00012921500092488714
unidirectional,5,20,5,54031,Heap-Based,21,21,1.0,7.210400144685991e-05
unidirectional,5,20,6,54032,ILP,22,22,1.0,0.004820572999960859
unidirectional,5,20,6,54032,REC,22,22,1.0,0.0001188730002468219
unidirectional,5,20,6,54032,Heap-Based,22,22,1.0,7.65269996918505e-05
unidirectional,5,20,7,54033,ILP,13,13,1.0,0.0058364970009279205
unidirectional,5,20,7,54033,REC,13,13,1.0,9.510199924989138e-05
unidirectional,5,20,7,54033,Heap-Based,13,13,1.0,6.744599886587821e-05
unidirectional,5,20,8,54034,ILP,23,23,1.0,0.007767032000629115
unidirectional,5,20,8,54034,REC,23,23,1.0,0.00019529499877535272
unidirectional,5,20,8,54034,Heap-Based,23,23,1.0,0.00010201599980064202
unidirectional,5,20,9,54035,ILP,22,22,1.0,0.0059506010002223775
unidirectional,5,20,9,54035,REC,22,22,1.0,0.00012461799997254275
unidirectional,5,20,9,54035,Heap-Based,22,22,1.0,9.686199882708024e-05
unidirectional,5,20,10,54036,ILP,22,22,1.0,0.02220914499957871
unidirectional,5,20,10,54036,REC,22,22,1.0,0.00011818300117738545
unidirectional,5,20,10,54036,Heap-Based,22,22,1.0,0.00010464800107001793
unidirectional,5,20,11,54037,ILP,25,25,1.0,0.008608559001004323
unidirectional,5,20,11,54037,REC,25,25,1.0,0.0001654959996812977
unidirectional,5,20,11,54037,Heap-Based,25,25,1.0,0.00013512899931811262
unidirectional,5,20,12,54038,ILP,19,19,1.0,0.008100435999949696
unidirectional,5,20,12,54038,REC,19,19,1.0,0.00011594700117711909
unidirectional,5,20,12,54038,Heap-Based,19,19,1.0,9.535899880575016e-05
unidirectional,5,20,13,54039,ILP,25,25,1.0,0.007623343999512144
unidirectional,5,20,13,54039,REC,25,25,1.0,0.0001498829988122452
unidirectional,5,20,13,54039,Heap-Based,25,25,1.0,0.00011506299961183686
unidirectional,5,20,14,54040,ILP,20,20,1.0,0.005173053999897093
unidirectional,5,20,14,54040,REC,20,20,1.0,0.00013560999832407106
unidirectional,5,20,14,54040,Heap-Based,20,20,1.0,9.067600149137434e-05
unidirectional,5,20,15,54041,ILP,24,24,1.0,0.0052714860012201825
unidirectional,5,20,15,54041,REC,24,24,1.0,0.00011297000128251966
unidirectional,5,20,15,54041,Heap-Based,24,24,1.0,7.776600068609696e-05
unidirectional,5,20,16,54042,ILP,20,20,1.0,0.007032027999230195
unidirectional,5,20,16,54042,REC,20,20,1.0,0.0001261670004168991
unidirectional,5,20,16,54042,Heap-Based,20,20,1.0,8.847400022204965e-05
unidirectional,5,20,17,54043,ILP,21,21,1.0,0.008749434000492329
unidirectional,5,20,17,54043,REC,21,21,1.0,0.00016473799951199908
unidirectional,5,20,17,54043,Heap-Based,21,21,1.0,0.0001239829998667119
unidirectional,5,20,18,54044,ILP,19,19,1.0,0.007004238999797963
unidirectional,5,20,18,54044,REC,19,19,1.0,0.00013319400022737682
unidirectional,5,20,18,54044,Heap-Based,19,19,1.0,9.078899893211201e-05
unidirectional,5,20,19,54045,ILP,16,16,1.0,0.005145420998815098
unidirectional,5,20,19,54045,REC,16,16,1.0,0.00010121200102730654
unidirectional,5,20,19,54045,Heap-Based,16,16,1.0,5.459100066218525e-05
unidirectional,5,20,20,54046,ILP,24,24,1.0,0.006874378999782493
unidirectional,5,20,20,54046,REC,24,24,1.0,0.00014882600044074934
unidirectional,5,20,20,54046,Heap-Based,24,24,1.0,0.0001036079993355088
unidirectional,5,20,21,54047,ILP,23,23,1.0,0.005589227001109975
unidirectional,5,20,21,54047,REC,23,23,1.0,0.00011971399908361491
unidirectional,5,20,21,54047,Heap-Based,23,23,1.0,8.071199954429176e-05
unidirectional,5,20,22,54048,ILP,21,21,1.0,0.008888496000508894
unidirectional,5,20,22,54048,REC,21,21,1.0,0.0001415229999111034
unidirectional,5,20,22,54048,Heap-Based,21,21,1.0,0.00010261199895467144
unidirectional,5,20,23,54049,ILP,20,20,1.0,0.006894319998536957
unidirectional,5,20,23,54049,REC,20,20,1.0,0.00012297700050112326
unidirectional,5,20,23,54049,Heap-Based,20,20,1.0,9.574799878464546e-05
unidirectional,5,20,24,54050,ILP,22,22,1.0,0.0056648830013728
unidirectional,5,20,24,54050,REC,22,22,1.0,0.00012321000031079166
unidirectional,5,20,24,54050,Heap-Based,22,22,1.0,0.00010372400174674112
unidirectional,5,20,25,54051,ILP,21,21,1.0,0.006434293998609064
unidirectional,5,20,25,54051,REC,21,21,1.0,0.00011414899927331135
unidirectional,5,20,25,54051,Heap-Based,21,21,1.0,9.133200001087971e-05
unidirectional,5,20,26,54052,ILP,17,17,1.0,0.006829435998952249
unidirectional,5,20,26,54052,REC,17,17,1.0,0.0001142170003731735
unidirectional,5,20,26,54052,Heap-Based,17,17,1.0,8.364899986190721e-05
unidirectional,5,20,27,54053,ILP,22,22,1.0,0.0056847220002964605
unidirectional,5,20,27,54053,REC,22,22,1.0,0.00013114200010022614
unidirectional,5,20,27,54053,Heap-Based,22,22,1.0,8.519700168108102e-05
unidirectional,5,20,28,54054,ILP,23,23,1.0,0.09434007200070482
unidirectional,5,20,28,54054,REC,23,23,1.0,0.00016384000082325656
unidirectional,5,20,28,54054,Heap-Based,23,23,1.0,0.00012158099889347795
unidirectional,5,20,29,54055,ILP,25,25,1.0,0.0063057920015126
unidirectional,5,20,29,54055,REC,25,25,1.0,0.00012976799916941673
unidirectional,5,20,29,54055,Heap-Based,25,25,1.0,0.00011224099944229238
unidirectional,5,20,30,54056,ILP,11,11,1.0,0.0057697280008142116
unidirectional,5,20,30,54056,REC,11,11,1.0,0.00011093300054199062
unidirectional,5,20,30,54056,Heap-Based,11,11,1.0,5.2347999371704645e-05
unidirectional,5,20,31,54057,ILP,19,19,1.0,0.007619055000759545
unidirectional,5,20,31,54057,REC,19,19,1.0,0.00014983300025050994
unidirectional,5,20,31,54057,Heap-Based,19,19,1.0,0.00010218700117547996
unidirectional,5,20,32,54058,ILP,22,22,1.0,0.006761280999853625
unidirectional,5,20,32,54058,REC,22,22,1.0,0.00013601899991044775
unidirectional,5,20,32,54058,Heap-Based,22,22,1.0,9.174600018013734e-05
unidirectional,5,30,0,55026,ILP,21,21,1.0,0.007120684998881188
unidirectional,5,30,0,55026,REC,21,21,1.0,0.0001712180001050001
unidirectional,5,30,0,55026,Heap-Based,21,21,1.0,0.00011855000047944486
unidirectional,5,30,1,55027,ILP,32,32,1.0,0.006655108998529613
unidirectional,5,30,1,55027,REC,32,32,1.0,0.00021478300004673656
unidirectional,5,30,1,55027,Heap-Based,32,32,1.0,0.00015714499932073522
unidirectional,5,30,2,55028,ILP,35,35,1.0,0.008510385001500254
unidirectional,5,30,2,55028,REC,35,35,1.0,0.00023357499958365224
unidirectional,5,30,2,55028,Heap-Based,35,35,1.0,0.00018015800014836714
unidirectional,5,30,3,55029,ILP,32,32,1.0,0.006000432998916949
unidirectional,5,30,3,55029,REC,32,32,1.0,0.00020608200065908022
unidirectional,5,30,3,55029,Heap-Based,32,32,1.0,0.0001562629986437969
unidirectional,5,30,4,55030,ILP,23,23,1.0,0.007375212999249925
unidirectional,5,30,4,55030,REC,23,23,1.0,0.00018932599959953222
unidirectional,5,30,4,55030,Heap-Based,23,23,1.0,0.0001291250009671785
unidirectional,5,30,5,55031,ILP,26,26,1.0,0.010506238999369089
unidirectional,5,30,5,55031,REC,26,26,1.0,0.00021042300068074837
unidirectional,5,30,5,55031,Heap-Based,26,26,1.0,0.00014592899970011786
unidirectional,5,30,6,55032,ILP,28,28,1.0,0.016826958000820014
unidirectional,5,30,6,55032,REC,28,28,1.0,0.00021224000010988675
unidirectional,5,30,6,55032,Heap-Based,28,28,1.0,0.00014333100079966243
unidirectional,5,30,7,55033,ILP,32,32,1.0,0.010196985000220593
unidirectional,5,30,7,55033,REC,32,32,1.0,0.0002517480006645201
unidirectional,5,30,7,55033,Heap-Based,32,32,1.0,0.00019314500059408601
unidirectional,5,30,8,55034,ILP,26,26,1.0,0.008834223999656388
unidirectional,5,30,8,55034,REC,26,26,1.0,0.0002145489997928962
unidirectional,5,30,8,55034,Heap-Based,26,26,1.0,0.00014675300008093473
unidirectional,5,30,9,55035,ILP,25,25,1.0,0.006577006999577861
unidirectional,5,30,9,55035,REC,25,25,1.0,0.0001314510009251535
unidirectional,5,30,9,55035,Heap-Based,25,25,1.0,7.768099931126926e-05
unidirectional,5,30,10,55036,ILP,32,32,1.0,0.009280715999921085
unidirectional,5,30,10,55036,REC,32,32,1.0,0.0002399340010015294
unidirectional,5,30,10,55036,Heap-Based,32,32,1.0,0.00019055499979003798
unidirectional,5,30,11,55037,ILP,31,31,1.0,0.008715341000424814
unidirectional,5,30,11,55037,REC,31,31,1.0,0.00022863000049255788
unidirectional,5,30,11,55037,Heap-Based,31,31,1.0,0.00015412900029332377
unidirectional,5,30,12,55038,ILP,31,31,1.0,0.017072098000426195
unidirectional,5,30,12,55038,REC,31,31,1.0,0.00026632099979906343
unidirectional,5,30,12,55038,Heap-Based,31,31,1.0,0.00021970200032228604
unidirectional,5,30,13,55039,ILP,27,27,1.0,0.008706458000233397
unidirectional,5,30,13,55039,REC,27,27,1.0,0.0002061060004052706
unidirectional,5,30,13,55039,Heap-Based,27,27,1.0,0.00013916100033384282
unidirectional,5,30,14,55040,ILP,26,26,1.0,0.005754484000135562
unidirectional,5,30,14,55040,REC,26,26,1.0,0.00017675900016911328
unidirectional,5,30,14,55040,Heap-Based,26,26,1.0,0.00012327100012043957
unidirectional,5,30,15,55041,ILP,28,28,1.0,0.007309017999432399
unidirectional,5,30,15,55041,REC,28,28,1.0,0.0001872690008895006
unidirectional,5,30,15,55041,Heap-Based,28,28,1.0,0.0001342430005024653
unidirectional,5,30,16,55042,ILP,24,24,1.0,0.00543918599942117
unidirectional,5,30,16,55042,REC,24,24,1.0,0.00016333300118276384
unidirectional,5,30,16,55042,Heap-Based,24,24,1.0,0.00011542399988684338
unidirectional,5,30,17,55043,ILP,32,32,1.0,0.009796465999897919
unidirectional,5,30,17,55043,REC,32,32,1.0,0.0002483990010659909
unidirectional,5,30,17,55043,Heap-Based,32,32,1.0,0.00017650500012678094
unidirectional,5,30,18,55044,ILP,26,26,1.0,0.01198685400049726
unidirectional,5,30,18,55044,REC,26,26,1.0,0.000234021999858669
unidirectional,5,30,18,55044,Heap-Based,26,26,1.0,0.00017321700033789966
unidirectional,5,30,19,55045,ILP,21,21,1.0,0.005576290999670164
unidirectional,5,30,19,55045,REC,21,21,1.0,0.00015871699906711
unidirectional,5,30,19,55045,Heap-Based,21,21,1.0,7.618100062245503e-05
